id,mag,place,time,updated,cdi,status,tsunami,sig,ids,nst,dmin,rms,gap,Longitud,Latitud,profundidad
nc73827301,2.75,"13km WSW of Ferndale, CA",2022-12-31 17:57:17.820,2023-03-07 19:00:02.040,3.4,reviewed,0,118,",nc73827301,us7000j1a5,",24.0,0.067,0.12,236.0,-124.4023333,40.5213333,18.87
ci40151807,4.14,"16km N of Borrego Springs, CA",2022-12-31 12:12:26.650,2023-04-05 16:03:26.740,4.8,reviewed,0,744,",ci40151807,us7000j18c,ew1672488750,",132.0,0.074,0.19,16.0,-116.3933333,33.3975,3.88
ci40151719,3.47,"11km SSE of Lucerne Valley, CA",2022-12-31 11:41:09.460,2023-03-07 19:00:01.040,3.4,reviewed,0,222,",ci40151719,us7000j183,",121.0,0.078,0.15,25.0,-116.9218333,34.3556667,4.73
nc73827136,2.64,"6km SW of Ferndale, CA",2022-12-31 09:18:30.970,2023-03-07 18:59:42.040,2.2,reviewed,0,108,",nc73827136,us7000j17p,",27.0,0.045,0.09,187.0,-124.3166667,40.5391667,17.7
nc73827126,2.76,"6km WNW of Allendale, CA",2022-12-31 09:02:23.470,2023-03-07 19:00:01.040,3.3,reviewed,0,143,",nc73827126,us7000j17m,",103.0,0.035,0.2,68.0,-122.015,38.4573333,18.5
ok2022zpsr,2.61,"6 km ENE of Meridian, Oklahoma",2022-12-31 08:52:11.169,2023-03-07 18:59:43.040,2.7,reviewed,0,106,",ok2022zpsr,us7000j17j,",90.0,0.0,0.16,39.0,-97.18883333,35.85383333,7.51
nc73827091,2.66,"28km SSE of Lopez Point, CA",2022-12-31 06:37:56.410,2023-03-07 19:00:01.040,2.2,reviewed,0,109,",nc73827091,us7000j170,",76.0,0.172,0.13,198.0,-121.4815,35.7735,3.18
nc73826571,2.61,"20km ESE of Yosemite Valley, CA",2022-12-29 23:03:35.160,2023-03-07 18:59:43.040,2.0,reviewed,0,105,",nc73826571,us7000j0y2,",51.0,0.243,0.11,42.0,-119.3848333,37.6516667,7.88
nc73826471,2.54,"6km N of Hydesville, CA",2022-12-29 17:17:29.200,2023-03-07 18:59:42.040,2.5,reviewed,0,102,",nc73826471,us7000j0ve,",29.0,0.096,0.13,56.0,-124.0883333,40.5995,17.5
tx2022zmfs,2.8,"64 km SSW of Whites City, New Mexico",2022-12-29 10:54:13.605,2023-03-07 18:59:57.040,,reviewed,0,121,",us7000j0tk,tx2022zmfs,",53.0,0.067,0.2,84.0,-104.5322869,31.60763256,8.03
nc73826156,2.97,"4km N of Hydesville, CA",2022-12-29 00:16:18.980,2023-03-07 18:59:56.040,3.4,reviewed,0,143,",nc73826156,us7000j0qz,",30.0,2.969,0.11,44.0,-124.0901667,40.5875,22.1
