type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates,Longitud,Latitud,Profundidad
Feature,us6000kbtz,5.6,"144 km SSE of Shimoda, Japan",2023-05-14 10:11:35.380,2023-05-15 10:18:19.469,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kbtz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kbtz&format=geojson,1.0,1.0,4.275,green,reviewed,0,483,us,6000kbtz,",us6000kbtz,usauto6000kbtz,pt23134000,",",us,usauto,pt,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",124.0,0.512,0.7,33.0,mww,earthquake,"M 5.6 - 144 km SSE of Shimoda, Japan",Point,"[139.3129, 33.4097, 13.71]",139.3129,33.4097,13.71
Feature,us6000kbtf,5.8,"152 km SSE of Shimoda, Japan",2023-05-14 08:21:41.106,2023-05-15 15:17:57.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kbtf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kbtf&format=geojson,,,4.014,green,reviewed,0,518,us,6000kbtf,",usauto6000kbtf,us6000kbtf,",",usauto,us,",",internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",125.0,0.455,1.0,31.0,mww,earthquake,"M 5.8 - 152 km SSE of Shimoda, Japan",Point,"[139.3432, 33.3438, 5.938]",139.3432,33.3438,5.938
Feature,us6000kbta,5.5,"148 km SSE of Shimoda, Japan",2023-05-14 08:11:57.241,2023-05-16 18:00:40.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000kbta,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000kbta&format=geojson,0.0,1.0,4.444,green,reviewed,0,465,us,6000kbta,",us6000kbta,usauto6000kbta,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",105.0,0.446,0.59,42.0,mww,earthquake,"M 5.5 - 148 km SSE of Shimoda, Japan",Point,"[139.3982, 33.3953, 14.275]",139.3982,33.3953,14.275
Feature,us6000k9ue,5.9,"Hokkaido, Japan region",2023-05-05 17:47:16.549,2023-05-06 17:53:42.064,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000k9ue,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000k9ue&format=geojson,5.0,3.4,4.487,green,reviewed,0,537,us,6000k9ue,",us6000k9ue,usauto6000k9ue,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",258.0,1.002,0.66,30.0,mww,earthquake,"M 5.9 - Hokkaido, Japan region",Point,"[141.9956, 41.5046, 62.297]",141.9956,41.5046,62.297
Feature,us6000k9rh,5.6,"43 km NE of Anamizu, Japan",2023-05-05 12:58:03.883,2023-05-15 05:47:45.143,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000k9rh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000k9rh&format=geojson,8.0,4.3,6.812,green,reviewed,0,486,us,6000k9rh,",us6000k9rh,pt23125001,at00ru6s0y,",",us,pt,at,",",dyfi,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",132.0,1.2,0.65,50.0,mwb,earthquake,"M 5.6 - 43 km NE of Anamizu, Japan",Point,"[137.2737, 37.4882, 10]",137.2737,37.4882,10.0
Feature,us7000jxba,5.3,"78 km ESE of Katsuren-haebaru, Japan",2023-05-01 07:59:37.923,2023-05-05 22:00:21.712,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jxba,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000jxba&format=geojson,4.0,2.2,3.291,green,reviewed,0,433,us,7000jxba,",us7000jxba,usauto7000jxba,",",us,usauto,",",dyfi,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",115.0,0.907,0.79,46.0,mww,earthquake,"M 5.3 - 78 km ESE of Katsuren-haebaru, Japan",Point,"[128.543, 25.9584, 10]",128.543,25.9584,10.0
Feature,us7000jxag,5.9,"79 km ESE of Katsuren-haebaru, Japan",2023-05-01 03:22:09.910,2023-05-05 02:26:35.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jxag,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000jxag&format=geojson,10.0,3.1,3.841,green,reviewed,0,539,us,7000jxag,",us7000jxag,usauto7000jxag,pt23121000,at00rtymp3,",",us,usauto,pt,at,",",dyfi,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",76.0,0.871,0.75,57.0,mww,earthquake,"M 5.9 - 79 km ESE of Katsuren-haebaru, Japan",Point,"[128.5838, 26.0075, 10.813]",128.5838,26.0075,10.813
Feature,us6000k11q,5.3,"Bonin Islands, Japan region",2023-03-31 05:52:19.140,2023-04-28 19:06:53.936,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000k11q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000k11q&format=geojson,,,3.529,green,reviewed,0,432,us,6000k11q,",us6000k11q,usauto6000k11q,",",us,usauto,",",earthquake-name,internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",125.0,0.561,0.68,86.0,mww,earthquake,"M 5.3 - Bonin Islands, Japan region",Point,"[141.5589, 27.037, 64.435]",141.5589,27.037,64.435
Feature,us6000k09q,6.0,"Hokkaido, Japan region",2023-03-28 09:18:28.506,2023-04-27 13:35:43.391,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000k09q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000k09q&format=geojson,17.0,3.8,3.771,green,reviewed,0,560,us,6000k09q,",us6000k09q,usauto6000k09q,at00rs84iu,pt23087000,",",us,usauto,at,pt,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",272.0,0.908,0.51,44.0,mww,earthquake,"M 6.0 - Hokkaido, Japan region",Point,"[142.8148, 41.1434, 37]",142.8148,41.1434,37.0
Feature,us7000jmc2,5.3,"Izu Islands, Japan region",2023-03-24 04:25:28.665,2023-05-07 11:17:09.040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000jmc2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000jmc2&format=geojson,,,2.811,green,reviewed,0,432,us,7000jmc2,",usauto7000jmc2,us7000jmc2,",",usauto,us,",",internal-moment-tensor,losspager,moment-tensor,origin,phase-data,shakemap,",92.0,2.879,0.64,92.0,mww,earthquake,"M 5.3 - Izu Islands, Japan region",Point,"[141.8645, 29.9711, 19.577]",141.8645,29.9711,19.577
