type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates,Longitud,Latitud,Profundidad
Feature,nc73887046,5.16,"4km NW of Canyondam, CA",2023-05-12 10:18:41.310,2023-05-15 14:53:47.275,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73887046,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73887046&format=geojson,1347.0,6.2,6.511,green,reviewed,0,1030,nc,73887046,",ew1683886730,nc73887046,usauto6000kbd8,pt23132001,us6000kbd8,nn00859415,",",ew,nc,usauto,pt,us,nn,",",dyfi,focal-mechanism,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",49.0,0.06232,0.19,37.0,mw,earthquake,"M 5.2 - 4km NW of Canyondam, CA",Point,"[-121.0998333, 40.196, 6.06]",-121.0998333,40.196,6.06
Feature,nc73886731,5.48,Lake Almanor Earthquake,2023-05-11 23:19:41.990,2023-05-16 13:39:33.501,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73886731,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73886731&format=geojson,7013.0,6.1,6.436,green,reviewed,1,1072,nc,73886731,",ew1683847190,nc73886731,at00ruiosw,usauto6000kb9a,pt23131002,us6000kb9a,nn00859379,",",ew,nc,at,usauto,pt,us,nn,",",dyfi,earthquake-name,focal-mechanism,ground-failure,impact-link,internal-moment-tensor,internal-origin,losspager,moment-tensor,nearby-cities,oaf,origin,phase-data,scitech-link,shake-alert,shakemap,",54.0,0.05144,0.16,46.0,mw,earthquake,M 5.5 - Lake Almanor Earthquake,Point,"[-121.1095, 40.2041667, 5.85]",-121.1095,40.2041667,5.85
Feature,ci40215735,4.26,"7km WSW of Niland, CA",2023-04-30 07:58:19.380,2023-05-12 09:29:19.854,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40215735,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40215735&format=geojson,19.0,6.6,5.183,green,reviewed,0,292,ci,40215735,",ci40215735,us7000jx59,ew1682841500,",",ci,us,ew,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",68.0,0.03616,0.26,90.0,mw,earthquake,"M 4.3 - 7km WSW of Niland, CA",Point,"[-115.5858333, 33.2036667, 1.89]",-115.5858333,33.2036667,1.89
Feature,ci40215583,4.29,"9km SW of Niland, CA",2023-04-30 07:10:10.180,2023-05-14 05:21:36.079,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40215583,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40215583&format=geojson,5.0,5.4,5.251,green,reviewed,0,286,ci,40215583,",ci40215583,us7000jx4z,",",ci,us,",",dyfi,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shakemap,",55.0,0.02213,0.29,87.0,mw,earthquake,"M 4.3 - 9km SW of Niland, CA",Point,"[-115.5933333, 33.1893333, 1.88]",-115.5933333,33.1893333,1.88
Feature,ci40215575,4.33,"8km WSW of Niland, CA",2023-04-30 07:09:34.500,2023-05-12 03:32:21.944,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40215575,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40215575&format=geojson,50.0,7.0,5.833,green,reviewed,0,323,ci,40215575,",ew1682838580,ci40215575,us7000jx4y,",",ew,ci,us,",",dyfi,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",65.0,0.0317,0.25,88.0,mw,earthquake,"M 4.3 - 8km WSW of Niland, CA",Point,"[-115.59, 33.2008333, 2.04]",-115.59,33.2008333,2.04
Feature,ci40214151,4.1,"3km SSW of Heber, CA",2023-04-29 12:07:03.500,2023-05-14 16:13:43.736,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40214151,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40214151&format=geojson,185.0,4.9,4.954,green,reviewed,0,349,ci,40214151,",ew1682770020,ci40214151,us7000jwy1,",",ew,ci,us,",",dyfi,focal-mechanism,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",57.0,0.05872,0.3,43.0,mw,earthquake,"M 4.1 - 3km SSW of Heber, CA",Point,"[-115.5448333, 32.711, 10.43]",-115.5448333,32.711,10.43
Feature,nc73871215,4.43,"7km WNW of Cobb, CA",2023-04-12 05:39:51.750,2023-05-12 11:07:59.319,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73871215,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73871215&format=geojson,783.0,4.9,4.71,green,reviewed,1,686,nc,73871215,",ew1681277990,nc73871215,at00rszmei,us6000k3qg,",",ew,nc,at,us,",",dyfi,focal-mechanism,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",103.0,0.01202,0.07,24.0,mw,earthquake,"M 4.4 - 7km WNW of Cobb, CA",Point,"[-122.8068333, 38.8351667, 2.45]",-122.8068333,38.8351667,2.45
Feature,tx2023gzjd,3.8,"19 km NW of Stanton, Texas",2023-04-10 06:14:48.919,2023-05-10 15:03:35.711,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023gzjd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023gzjd&format=geojson,14.0,4.9,4.706,green,reviewed,0,229,tx,2023gzjd,",us6000k388,tx2023gzjd,",",us,tx,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",20.0,0.03632973584,0.1,65.0,ml,earthquake,"M 3.8 - 19 km NW of Stanton, Texas",Point,"[-101.9306164, 32.26043701, 5.991414388]",-101.9306164,32.26043701,5.991414388
Feature,ok2023gsgn,4.0,"4 km ESE of Carney, Oklahoma",2023-04-06 08:57:16.809,2023-05-03 09:18:29.489,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2023gsgn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2023gsgn&format=geojson,1158.0,4.7,4.887,green,reviewed,0,716,ok,2023gsgn,",us6000k2b9,ok2023gsgn,",",us,ok,",",dyfi,losspager,moment-tensor,origin,phase-data,shakemap,",99.0,0.0,0.18,32.0,mwr,earthquake,"M 4.0 - 4 km ESE of Carney, Oklahoma",Point,"[-96.96983333, 35.7935, 7]",-96.96983333,35.7935,7.0
Feature,nc73866925,4.41,"1km NNW of Tres Pinos, CA",2023-04-04 22:23:17.820,2023-05-12 03:51:29.334,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73866925,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73866925&format=geojson,2872.0,5.0,4.981,green,reviewed,1,799,nc,73866925,",ew1680647000,at00rsm3iu,us6000k20h,nc73866925,",",ew,at,us,nc,",",associate,dyfi,focal-mechanism,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",111.0,0.07605,0.17,48.0,mw,earthquake,"M 4.4 - 1km NNW of Tres Pinos, CA",Point,"[-121.323, 36.801, 10.16]",-121.323,36.801,10.16
Feature,ci39508378,4.15,"5km NW of Palomar Observatory, CA",2023-04-01 01:16:07.810,2023-05-02 23:27:48.841,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39508378,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39508378&format=geojson,7601.0,4.5,4.632,green,reviewed,1,715,ci,39508378,",ew1680311770,ci39508378,at00rsewuv,us6000k19p,",",ew,ci,at,us,",",dyfi,focal-mechanism,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",153.0,0.09988,0.21,18.0,mw,earthquake,"M 4.2 - 5km NW of Palomar Observatory, CA",Point,"[-116.9096667, 33.3816667, 12.96]",-116.9096667,33.3816667,12.96
Feature,nc73860415,4.54,"10km WSW of Ferndale, CA",2023-03-21 23:18:19.630,2023-05-12 03:41:54.666,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73860415,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73860415&format=geojson,738.0,4.1,4.121,green,reviewed,1,620,nc,73860415,",ew1679440700,nc73860415,at00rrw8qj,us7000jlua,",",ew,nc,at,us,",",dyfi,focal-mechanism,groundmotion-packet,impact-link,losspager,moment-tensor,nearby-cities,origin,phase-data,scitech-link,shake-alert,shakemap,",34.0,0.07107,0.18,204.0,mw,earthquake,"M 4.5 - 10km WSW of Ferndale, CA",Point,"[-124.3725, 40.5415, 18.1]",-124.3725,40.5415,18.1
