ctt,eid,rdt,ttl,ift,ser,at,anm,acd,cod,mag,maxi,int,json,en_ttl,en_anm
20230519134605,20230519115704,2023-05-19T13:46:00+09:00,遠地地震に関する情報,発表,2,2023-05-19T11:57:00+09:00,南太平洋,950,-23.2+170.7/,7.7,,[],20230519134605_20230519115704_VXSE5e_2.json,Distant Earthquake Information,South Pacific Ocean
20230519133118,20230519132815,2023-05-19T13:31:00+09:00,震源・震度情報,発表,1,2023-05-19T13:28:00+09:00,トカラ列島近海,798,+29.9+130.1-10000/,2.1,1,"[{'code': '46', 'maxi': '1', 'city': [{'code': '4630400', 'maxi': '1'}]}]",20230519133118_20230519132815_VXSE5k_1.json,Earthquake and Seismic Intensity Information,Adjacent Sea of Tokara Islands
20230519123001,20230519115704,2023-05-19T12:30:00+09:00,遠地地震に関する情報,発表,1,2023-05-19T11:57:00+09:00,南太平洋,950,-23.2+170.7/,7.7,,[],20230519123001_20230519115704_VXSE5e_1.json,Distant Earthquake Information,South Pacific Ocean
20230519070017,20230519065636,2023-05-19T07:00:00+09:00,震源・震度情報,発表,1,2023-05-19T06:56:00+09:00,豊後水道,681,+33.2+132.2-50000/,4.4,4,"[{'code': '38', 'maxi': '4', 'city': [{'code': '3844200', 'maxi': '4'}, {'code': '3820300', 'maxi': '3'}, {'code': '3820400', 'maxi': '3'}, {'code': '3821400', 'maxi': '3'}, {'code': '3842200', 'maxi': '3'}, {'code': '3820700', 'maxi': '2'}, {'code': '3848400', 'maxi': '2'}, {'code': '3848800', 'maxi': '2'}, {'code': '3850600', 'maxi': '2'}, {'code': '3820600', 'maxi': '2'}, {'code': '3835600', 'maxi': '2'}, {'code': '3820200', 'maxi': '1'}, {'code': '3821000', 'maxi': '2'}, {'code': '3838600', 'maxi': '2'}, {'code': '3840200', 'maxi': '2'}, {'code': '3820100', 'maxi': '1'}, {'code': '3821500', 'maxi': '1'}, {'code': '3840100', 'maxi': '1'}]}, {'code': '39', 'maxi': '3', 'city': [{'code': '3920800', 'maxi': '3'}, {'code': '3920900', 'maxi': '1'}, {'code': '3921000', 'maxi': '1'}, {'code': '3940500', 'maxi': '1'}, {'code': '3941200', 'maxi': '1'}, {'code': '3942400', 'maxi': '1'}, {'code': '3920100', 'maxi': '1'}, {'code': '3920600', 'maxi': '1'}, {'code': '3921100', 'maxi': '1'}, {'code': '3938700', 'maxi': '1'}]}, {'code': '43', 'maxi': '3', 'city': [{'code': '4342500', 'maxi': '3'}, {'code': '4321400', 'maxi': '2'}, {'code': '4342800', 'maxi': '2'}, {'code': '4343300', 'maxi': '1'}, {'code': '4321000', 'maxi': '1'}, {'code': '4344700', 'maxi': '1'}]}, {'code': '44', 'maxi': '3', 'city': [{'code': '4421400', 'maxi': '3'}, {'code': '4421100', 'maxi': '2'}, {'code': '4432200', 'maxi': '2'}, {'code': '4420300', 'maxi': '1'}, {'code': '4420900', 'maxi': '1'}, {'code': '4420600', 'maxi': '3'}, {'code': '4420100', 'maxi': '2'}, {'code': '4420200', 'maxi': '2'}, {'code': '4420700', 'maxi': '2'}, {'code': '4421000', 'maxi': '2'}, {'code': '4421300', 'maxi': '1'}, {'code': '4434100', 'maxi': '1'}, {'code': '4421200', 'maxi': '3'}, {'code': '4420500', 'maxi': '2'}, {'code': '4420800', 'maxi': '2'}, {'code': '4446100', 'maxi': '1'}]}, {'code': '35', 'maxi': '2', 'city': [{'code': '3521200', 'maxi': '2'}, {'code': '3530500', 'maxi': '2'}, {'code': '3534400', 'maxi': '2'}, {'code': '3520800', 'maxi': '1'}, {'code': '3521000', 'maxi': '1'}, {'code': '3534100', 'maxi': '1'}, {'code': '3534300', 'maxi': '1'}, {'code': '3520300', 'maxi': '2'}, {'code': '3520600', 'maxi': '2'}, {'code': '3520700', 'maxi': '1'}, {'code': '3521500', 'maxi': '1'}, {'code': '3520100', 'maxi': '1'}, {'code': '3520200', 'maxi': '1'}, {'code': '3521600', 'maxi': '1'}]}, {'code': '45', 'maxi': '2', 'city': [{'code': '4520300', 'maxi': '2'}, {'code': '4520800', 'maxi': '1'}, {'code': '4540600', 'maxi': '1'}, {'code': '4544100', 'maxi': '2'}, {'code': '4543100', 'maxi': '1'}, {'code': '4544300', 'maxi': '1'}]}, {'code': '32', 'maxi': '1', 'city': [{'code': '3220400', 'maxi': '1'}]}, {'code': '33', 'maxi': '1', 'city': [{'code': '3320400', 'maxi': '1'}]}, {'code': '34', 'maxi': '1', 'city': [{'code': '3421400', 'maxi': '1'}, {'code': '3420400', 'maxi': '1'}, {'code': '3420500', 'maxi': '1'}, {'code': '3420700', 'maxi': '1'}, {'code': '3410100', 'maxi': '1'}, {'code': '3410400', 'maxi': '1'}, {'code': '3410600', 'maxi': '1'}, {'code': '3410700', 'maxi': '1'}, {'code': '3420200', 'maxi': '1'}, {'code': '3420300', 'maxi': '1'}, {'code': '3421100', 'maxi': '1'}, {'code': '3421200', 'maxi': '1'}, {'code': '3421300', 'maxi': '1'}, {'code': '3421500', 'maxi': '1'}, {'code': '3430200', 'maxi': '1'}, {'code': '3430400', 'maxi': '1'}, {'code': '3443100', 'maxi': '1'}]}, {'code': '37', 'maxi': '1', 'city': [{'code': '3720100', 'maxi': '1'}, {'code': '3720500', 'maxi': '1'}]}, {'code': '40', 'maxi': '1', 'city': [{'code': '4021300', 'maxi': '1'}, {'code': '4021400', 'maxi': '1'}, {'code': '4062500', 'maxi': '1'}]}]",20230519070017_20230519065636_VXSE5k_1.json,Earthquake and Seismic Intensity Information,Bungosuido Strait
20230519065916,20230519065636,2023-05-19T06:59:00+09:00,震源に関する情報,発表,0,2023-05-19T06:56:00+09:00,豊後水道,681,+33.2+132.2-50000/,4.4,,[],20230519065916_20230519065636_VXSE52_0.json,Earthquake Information,Bungosuido Strait
20230519065905,20230519065636,2023-05-19T06:59:00+09:00,震度速報,発表,0,2023-05-19T06:56:00+09:00,,,,,4,"[{'code': '38', 'maxi': '4', 'city': []}, {'code': '39', 'maxi': '3', 'city': []}, {'code': '43', 'maxi': '3', 'city': []}, {'code': '44', 'maxi': '3', 'city': []}]",20230519065905_20230519065636_VXSE51_0.json,Seismic Intensity Information,
20230519065805,20230519065636,2023-05-19T06:58:00+09:00,震度速報,発表,0,2023-05-19T06:56:00+09:00,,,,,4,"[{'code': '38', 'maxi': '4', 'city': []}, {'code': '39', 'maxi': '3', 'city': []}, {'code': '44', 'maxi': '3', 'city': []}]",20230519065805_20230519065636_VXSE51_0.json,Seismic Intensity Information,
20230519053508,20230519053228,2023-05-19T05:35:00+09:00,震源・震度情報,発表,1,2023-05-19T05:32:00+09:00,大阪府北部,520,+34.9+135.5-10000/,2.3,1,"[{'code': '27', 'maxi': '1', 'city': [{'code': '2732200', 'maxi': '1'}]}, {'code': '28', 'maxi': '1', 'city': [{'code': '2821900', 'maxi': '1'}]}]",20230519053508_20230519053228_VXSE5k_1.json,Earthquake and Seismic Intensity Information,Northern Osaka Prefecture
20230519040911,20230519040542,2023-05-19T04:09:00+09:00,震源・震度情報,発表,1,2023-05-19T04:05:00+09:00,千葉県東方沖,473,+35.7+141.0-20000/,3.3,1,"[{'code': '12', 'maxi': '1', 'city': [{'code': '1220200', 'maxi': '1'}]}]",20230519040911_20230519040542_VXSE5k_1.json,Earthquake and Seismic Intensity Information,Off the east Coast of Chiba Prefecture
20230518195245,20230518194921,2023-05-18T19:52:00+09:00,震源・震度情報,発表,1,2023-05-18T19:49:00+09:00,石川県能登地方,390,+37.5+137.3-10000/,3.6,3,"[{'code': '17', 'maxi': '3', 'city': [{'code': '1720500', 'maxi': '3'}, {'code': '1746300', 'maxi': '2'}, {'code': '1720400', 'maxi': '1'}]}]",20230518195245_20230518194921_VXSE5k_1.json,Earthquake and Seismic Intensity Information,"Noto, Ishikawa Prefecture"
