States,2010,2011,2012,2013,2014,2015
Alabama,1,1,0,0,2,6
Alaska,2245,1409,1166,1329,1296,1575
Arizona,6,7,4,3,31,10
Arkansas,15,44,4,4,1,0
California,546,195,243,240,191,130
Colorado,4,23,7,2,13,7
Connecticut,0,0,0,0,0,1
Delaware,0,0,0,0,0,0
Florida,0,0,0,0,0,0
Georgia,0,0,0,0,0,0
Hawaii,17,34,40,30,26,53
Idaho,7,4,4,11,31,38
Illinois,1,0,2,1,0,1
Indiana,1,0,3,0,0,0
Iowa,0,0,0,0,0,0
Kansas,0,0,0,2,42,60
Kentucky,0,0,2,0,0,0
Louisiana,1,0,0,0,0,0
Maine,1,0,1,1,0,0
Maryland,1,0,0,0,0,0
Massachusetts,0,0,0,0,0,0
Michigan,0,0,0,0,0,2
Minnesota,0,0,0,0,1,0
Mississippi,0,0,0,0,0,3
Missouri,2,3,2,0,1,5
Montana,7,11,9,14,29,19
Nebraska,2,0,1,0,0,3
Nevada,38,86,22,34,161,172
New Hampshire,1,0,0,0,0,0
New Jersey,0,0,0,0,0,0
New Mexico,7,7,3,6,3,12
New York,0,1,0,0,0,2
North Carolina,0,0,0,0,1,0
North Dakota,0,0,1,0,0,0
Ohio,1,3,0,1,1,0
Oklahoma,41,63,34,103,585,888
Oregon,4,0,4,2,4,3
Pennsylvania,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0
South Carolina,0,0,0,0,3,0
South Dakota,0,3,1,1,1,0
Tennessee,1,0,4,1,1,1
Texas,9,18,11,16,8,21
Utah,17,16,16,6,10,4
Vermont,0,0,0,0,0,0
Virginia,1,7,4,0,1,0
Washington,5,14,6,18,6,11
West Virginia,1,0,0,1,0,0
Wisconsin,0,0,0,0,0,0
Wyoming,43,6,9,73,179,198
