time,mag,intensidad_max,latitud,longitud,profundidad
2023-05-19 13:31:00,2.1,1,29.9,130.1,10
2023-05-19 07:00:00,4.4,4,33.2,132.2,50
2023-05-19 06:59:00,4.4,0,33.2,132.2,50
2023-05-19 05:35:00,2.3,1,34.9,135.5,10
2023-05-19 04:09:00,3.3,1,35.7,141.0,20
2023-05-18 19:52:00,3.6,3,37.5,137.3,10
2023-05-18 19:51:00,3.6,0,37.5,137.3,10
2023-05-17 22:32:00,2.5,1,37.5,137.2,10
2023-05-17 21:00:00,3.4,1,24.7,125.4,50
2023-05-17 19:49:00,2.3,1,29.9,130.1,10
2023-05-17 14:32:00,2.7,2,29.9,130.1,10
2023-05-17 14:28:00,3.7,1,24.8,125.2,20
2023-05-17 11:29:00,3.1,2,29.9,130.0,10
2023-05-17 00:37:00,3.0,2,29.9,130.0,10
2023-05-16 21:01:00,4.7,1,33.4,139.3,10
2023-05-16 20:38:00,1.9,1,29.9,130.0,30
2023-05-16 20:32:00,3.3,1,38.9,141.6,60
2023-05-16 19:24:00,4.0,2,36.5,140.6,70
2023-05-16 15:52:00,1.9,1,30.0,129.9,10
2023-05-16 15:26:00,2.6,2,29.9,130.0,10
2023-05-16 14:52:00,2.7,1,36.8,140.6,10
2023-05-16 14:49:00,1.8,1,30.0,129.9,0
2023-05-16 01:50:00,2.8,2,30.0,129.9,10
2023-05-16 01:38:00,3.3,3,29.9,130.1,10
2023-05-16 01:37:00,3.3,0,29.9,130.1,10
2023-05-15 22:39:00,2.8,2,29.8,129.9,0
2023-05-15 17:33:00,3.2,1,33.4,132.2,50
2023-05-15 17:08:00,2.6,1,30.0,130.0,10
2023-05-15 14:06:00,3.5,1,35.1,132.8,10
2023-05-15 13:00:00,2.7,1,37.5,137.2,10
2023-05-15 12:56:00,3.2,1,37.5,137.3,10
2023-05-15 12:24:00,4.2,1,27.2,126.8,120
2023-05-15 09:08:00,2.9,2,37.5,137.2,10
2023-05-15 07:07:00,4.7,1,44.9,148.6,140
2023-05-15 06:12:00,1.9,1,29.9,130.0,20
2023-05-15 06:10:00,1.5,1,44.8,142.1,0
2023-05-15 01:26:00,5.2,2,33.4,139.3,10
2023-05-15 00:12:00,2.2,1,29.9,130.0,0
2023-05-14 23:24:00,4.8,1,33.3,139.3,10
2023-05-14 23:06:00,5.4,2,33.3,139.3,10
2023-05-14 22:59:00,5.0,1,33.3,139.4,10
2023-05-14 22:52:00,2.6,2,29.9,130.0,20
2023-05-14 20:33:00,4.7,1,33.4,139.4,10
2023-05-14 19:15:00,5.9,2,33.4,139.3,10
2023-05-14 17:50:00,5.3,1,33.0,139.0,10
2023-05-14 17:25:00,5.9,2,33.3,139.2,10
2023-05-14 17:16:00,5.6,3,33.4,139.3,10
2023-05-14 17:15:00,5.6,0,33.4,139.3,10
2023-05-14 16:06:00,4.7,1,33.3,139.3,10
2023-05-14 12:38:00,1.8,1,30.0,130.0,0
2023-05-14 08:54:00,2.8,1,38.3,140.5,10
2023-05-14 08:35:00,3.2,2,29.9,130.0,10
2023-05-14 07:44:00,2.6,1,29.9,130.0,10
2023-05-14 07:08:00,2.0,1,30.0,130.0,10
2023-05-14 06:33:00,2.7,1,29.9,130.0,10
2023-05-14 02:22:00,4.5,1,26.7,142.6,20
2023-05-14 02:06:00,2.0,1,29.9,130.0,0
2023-05-14 00:39:00,2.5,1,29.9,130.0,10
2023-05-14 00:14:00,3.1,3,29.9,130.0,10
2023-05-14 00:13:00,3.1,0,29.9,130.0,10
2023-05-13 23:02:00,1.9,1,29.9,130.0,10
2023-05-13 22:14:00,2.2,1,29.9,130.0,10
2023-05-13 19:55:00,2.3,1,30.0,129.9,10
2023-05-13 19:51:00,1.9,1,30.0,130.0,10
2023-05-13 19:48:00,2.5,1,37.5,137.1,10
2023-05-13 19:04:00,2.5,2,29.9,130.0,10
2023-05-13 18:10:00,5.1,0,2955.6,13000.9,12
2023-05-13 18:01:00,2.0,1,29.9,130.0,20
2023-05-13 17:54:00,2.3,1,29.9,130.0,10
2023-05-13 17:42:00,2.3,1,29.9,130.1,0
